rank,story_id,title,main_category,subcategory,book_title,author,version,readiness,hook,emotion,share,save,voice,arc,video,trust,total,decision,recommended_format,reason,fact_check_note
180,1355,Beş büyük pişmanlık,Büyüme,İlham,Lider Yok Köle Yok,Robin Sharma,1,Temel,14,8,13,12,10,7,17,1,82,Revize et,Carousel,Ölüm döşeği sorusu çok güçlü paylaşım ve öz değerlendirme üretir; bulgular yanlış kişiye atfedilmiş görünüyor.,Kaynak kontrolü şart
181,1699,PayPal'ın Rakip Kurucuları Nasıl Takım Oldu?,Liderlik,Liderlik,The Founders,Jimmy Soni,2,Zengin,13,6,13,11,8,9,17,5,82,Revize et,Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; görselleştirme yeterli.,Standart doğrulama
182,1715,Nir Eyal’i Kendi Kızıyla Kaçırdığı An Durdurdu,Verimlilik,Verimlilik,Indistractable,Nir Eyal,2,Zengin,12,8,13,11,9,8,17,4,82,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
183,1719,Uykusuz Bir Cerrah Ne Zaman Yardım İstemeli?,Finans,Satış,Complications,Atul Gawande,2,Zengin,12,9,13,11,8,8,17,4,82,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
184,1723,Bir Gölü Kurtarmak Neden Musluğu Kapatmak Kadar Hızlı Değildir?,Felsefe,Düşünme,Thinking in Systems,Donella Meadows,2,Zengin,12,8,13,11,9,8,17,4,82,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
185,1724,Darwin Smith Neden Şirketinin Fabrikalarını Sattı?,Verimlilik,İş Dünyası,Good to Great,Jim Collins,2,Zengin,12,8,13,11,9,8,17,4,82,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
186,1728,David Goggins Aynadaki Adamla Neden Konuştu?,Büyüme,Motivasyon,Can't Hurt Me,David Goggins,2,Zengin,13,7,13,10,9,8,17,5,82,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
187,1739,Seth Godin Neden Mor Bir İnek Aradı?,Finans,Pazarlama,Purple Cow,Seth Godin,2,Zengin,12,9,13,11,8,8,17,4,82,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
188,1746,Roma'yı Büyüten Sıra Dışı Karar,Tarih,Tarih,SPQR,Mary Beard,2,Zengin,13,8,13,10,9,9,17,3,82,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; görselleştirme yeterli.,Kaynak kontrolü şart
189,1768,Oyun Bahçesinden Ekrana Geçiş,Finans,İş & Girişim,The Anxious Generation,Jonathan Haidt,2,Zengin,13,7,13,11,9,7,17,5,82,Revize et,Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Standart doğrulama
190,1253,Hafıza şampiyonlarının tekniği,Felsefe,Öğrenme,Zihin Haritası,Tony Buzan,1,Temel,13,7,12,13,8,8,17,4,82,Revize et,Carousel,"Hafıza şampiyonları ve saray tekniği somut, görselleştirilebilir ve izleyicinin hemen deneyebileceği kadar pratik.",Kaynak kontrolü önerilir
191,1427,Kasıtlı pratik ile rutin pratik arasındaki derin uçurum,Liderlik,Başarı,Yetenek Yanılgısı,Geoff Colvin,1,Temel,13,7,12,13,9,8,17,3,82,Revize et,Carousel,Yirmi yıllık doktorun gençten geride kalması güçlü ters köşe; kasıtlı pratik ayrımı hemen kullanılabilir.,Kaynak kontrolü şart
192,1247,Korkunun yolcu olması,Verimlilik,Yaratıcılık,Yaratıcı Olmak,Elizabeth Gilbert,1,Temel,13,8,13,11,9,8,16,4,82,Revize et,Carousel,"Korkuyu arka koltuğa oturtan güçlü metafor hemen anlaşılır, akılda kalır ve paylaşma dürtüsü yaratır.",Kaynak kontrolü önerilir
193,1268,Uyku yoksunluğu ve tıbbi hatalar,Sağlık,Sağlık,Neden Uyuyoruz,Matthew Walker,1,Temel,14,8,13,13,9,7,16,2,82,Revize et,Carousel,Sarhoş cerrah karşılaştırması sarsıcı ve çok paylaşılır; sağlık riskleri ile oranlar hassas biçimde kaynaklanmalı.,Kaynak kontrolü şart
194,1357,Müşteri kim sorusu,Finans,Pazarlama,Unutulmaz Markalar,Seth Godin,1,Temel,13,7,13,13,9,7,16,4,82,Revize et,Carousel,"“Herkes için, kimse için” karşıtlığı keskin; küçük ve tutkulu kitle odağı doğrudan eyleme dönüşüyor.",Kaynak kontrolü önerilir
195,1490,Uyuşturucu savaşının paradoksu,Felsefe,Toplum,Bağımlılık Çağı,Johann Hari,1,Temel,13,8,13,13,9,7,16,3,82,Revize et,Carousel,Portekiz'in ceza yerine destek yaklaşımı umutlu bir toplum dönüşümü anlatıyor; sonuç oranları doğrulanmalı.,Kaynak kontrolü şart
196,1513,Sabit disk sanayisinin dersi,Verimlilik,İş Dünyası,Yıkıcı İnovasyon,Clayton Christensen,1,Temel,13,7,13,12,9,7,16,5,82,Revize et,Carousel,İyi yöneticinin Disk işini batırması çarpıcı paradoks ve gerçek şirket gerilimiyle güçlü bir iş hikâyesi.,Standart doğrulama
197,1539,Placebo etkisi ve zihnin performans üzerindeki gücü,Liderlik,Başarı,Sıçramak,Matthew Syed,1,Temel,13,8,13,13,9,7,16,3,82,Revize et,Carousel,Plasebo dart örneği beklentinin performansı bozmasını çarpıcı anlatır; oran ve deney ayrıntısı doğrulanmalı.,Kaynak kontrolü şart
198,1599,Lif — mikrobiyomun birincil yakıtı ve modern diyetin en büyük eksikliği,Sağlık,Sağlık,İyi Bağırsak,Justin Sonnenburg,1,Temel,13,7,13,14,9,7,16,3,82,Revize et,Carousel,Hadza beslenmesi ve lif çeşitliliği renkli kültür sahneleri sunuyor; neden-sonuç dili dikkatle kurulmalı.,Kaynak kontrolü şart
199,1195,Uyku ve beyin temizliği,Sağlık,Sağlık,Neden Uyuyoruz,Matthew Walker,1,Temel,15,8,12,14,8,7,16,2,82,Revize et,Carousel,Gece beynin yıkanması çok görsel ve önemli; Alzheimer ile diğer hastalık bağları fazla kesin kuruluyor.,Kaynak kontrolü şart
200,1325,İçsel eleştirmenin sesi,Verimlilik,Yaratıcılık,Yaratıcı Beyin,Julia Cameron,1,Temel,13,8,12,11,10,8,16,4,82,Revize et,Carousel,Tuval önünde donan ressam sahnesi çok tanıdık; eleştirmenin kökenini sorması kişisel anlatıyı tetikliyor.,Kaynak kontrolü önerilir
201,1372,Neşe tetikleyici yöntemi,Felsefe,Yaşam,The Life-Changing Magic of Tidying Up,Marie Kondo,1,Temel,13,7,12,13,9,8,16,4,82,Revize et,Carousel,Bluz sahnesi batık maliyeti sıcak biçimde görünür kılıyor; teşekkür edip bırakma ritüeli akılda kalıyor.,Kaynak kontrolü önerilir
202,1431,Hikaye anlatımı ve kendini kurban etmek,Psikoloji,Psikoloji,Terapi,Lori Gottlieb,1,Temel,13,8,12,12,10,8,16,3,82,Revize et,Carousel,Kendi hikâyesinin hem mahkûmu hem yazarı olma fikri derin; kurbanlık dili hassas bağlamda kullanılmalı.,Kaynak kontrolü şart
203,1527,İçsel eleştirmen ve radyo istasyonları,Finans,Finans,Parça Parça Yazmak,Anne Lamott,1,Temel,12,8,12,14,9,7,16,4,82,Revize et,Carousel,"İç eleştirmeni radyo kanalına çevirmek eğlenceli, duygusal ve uygulanabilir; sesli anlatı formatına çok uygun.",Kaynak kontrolü önerilir
204,1364,"3P tuzağı — kalıcılık, yaygınlık, kişiselleştirme",Büyüme,Dayanıklılık,Zihinsel Dayanıklılık,Sheryl Sandberg,1,Temel,12,8,11,13,10,8,16,4,82,Revize et,Carousel,Üç P acı içindeki düşünceyi sade ve kullanılabilir biçimde ayrıştırıyor; kişisel örnek bağı güçlendiriyor.,Kaynak kontrolü önerilir
205,1503,Şiddetin öngörülebilirliği,Tarih,Güvenlik,Korkudan Öğrenmek,Gavin de Becker,1,Temel,12,8,13,14,9,7,15,4,82,Revize et,Carousel,Şiddet öncesi sinyalleri okumak yüksek önem ve gerilim taşır; güvenlik dili sorumlu biçimde kurulmalı.,Kaynak kontrolü önerilir
206,1613,Ekonomik giden rüzgar — aile desteğinin gizli bedeli,Finans,Finans,Komşu Milyoner,Thomas Stanley,1,Temel,12,8,13,14,9,7,15,4,82,Revize et,Carousel,Aile desteğinin bağımlılığa dönüşmesi sevgi ve sınır arasında duygusal gerilim kurar; çok konuşulur.,Kaynak kontrolü önerilir
207,1510,Negatif görselleştirme — kaybı hayal etmek,Felsefe,Felsefe,Pratik Stoacılık,William Irvine,1,Temel,12,7,12,15,9,7,15,5,82,Revize et,Carousel,Negatif görselleştirme sahip olduklarının değerini hissettiriyor; güçlü duygu ve uygulanabilir ritüel birleşiyor.,Standart doğrulama
208,1560,RAIN pratiği — zor duyguları eritmek için dört adım,Psikoloji,Farkındalık,Radikal Kabul,Tara Brach,1,Temel,12,7,12,15,9,7,15,5,82,Revize et,Carousel,"RAIN'in dört adımı zor duygular için hazır bir rehber; kısa, hatırlanabilir ve sesli notla uygulanabilir.",Standart doğrulama
209,1140,Savunmasızlığın paradoksu,Büyüme,Kişisel Gelişim,Cesaret Vermek,Brené Brown,1,Temel,13,9,11,13,10,7,15,4,82,Revize et,Carousel,"Zırhın korurken yalnızlaştırması güçlü metafor, yüksek duygusal yakınlık ve kişisel anlatım çağrısı yaratıyor.",Kaynak kontrolü önerilir
210,1146,Hayır diyememek ve tükenişin bedeli,Büyüme,Kişisel Gelişim,Sınırlar,Nedra Tawwab,1,Temel,13,9,11,14,10,7,15,3,82,Revize et,Carousel,Seans ortasında ağlayan terapist sınır ihtiyacını insani ve vurucu biçimde somutlaştırıyor.,Kaynak kontrolü şart
211,1188,Hayır deme korkusu,Büyüme,Motivasyon,Korkusuzluk,Susan Jeffers,1,Temel,13,9,11,13,10,7,15,4,82,Revize et,Carousel,"Hayırın altında sevilmeme korkusunu açmak yüksek yakınlık, kayıt değeri ve sesli paylaşım üretir.",Kaynak kontrolü önerilir
212,1228,Ambulanstaki uyanış,Büyüme,Kişisel Gelişim,Yüksek Performans,Brendon Burchard,1,Temel,14,9,11,13,10,7,15,3,82,Revize et,Carousel,"Ambulansta sorulan üç hayat sorusu güçlü duygu, yapı ve kişisel sesli cevap potansiyeli taşır.",Kaynak kontrolü şart
213,1771,Karısını Şapka Sanan Adam,Finans,İş & Girişim,The Man Who Mistook His Wife for a Hat,Oliver Sacks,2,Zengin,14,5,14,8,8,8,20,4,81,Revize et,Kart testi,Merak sorusu ve karşıtlık ilk saniye etkisini güçlendiriyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
214,1709,Servet Neden Genellikle Görünmezdir?,Finans,Finans,The Psychology of Money,Morgan Housel,2,Zengin,12,7,13,11,9,8,18,3,81,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü şart
215,1755,Amazon'un Yuttuğu Kaşif,Tarih,Tarih,The Lost City of Z,David Grann,2,Zengin,13,8,13,8,9,7,18,5,81,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Standart doğrulama
216,1756,Soluk Mavi Nokta,Psikoloji,Psikoloji,Cosmos,Carl Sagan,2,Zengin,12,7,13,11,8,7,18,5,81,Revize et,Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Standart doğrulama
217,1784,Sonuna Kadar İyi Yaşamak,Sağlık,Sağlık,Being Mortal,Atul Gawande,F5,Zengin,12,8,13,11,9,7,18,3,81,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü şart
218,1803,Saatin İki Dili,Liderlik,Liderlik,The Culture Map,Erin Meyer,C2,Zengin,12,7,13,10,8,8,18,5,81,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
219,1716,Kendi Adını Söylemek Stresi Nasıl Azaltabilir?,Finans,İş & Girişim,Chatter,Ethan Kross,2,Zengin,12,7,13,11,9,8,17,4,81,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
220,1743,168 Kişi Bir İmparatorluğu Nasıl Esir Aldı?,Tarih,Tarih,"Guns, Germs, and Steel",Jared Diamond,2,Zengin,13,8,13,10,9,8,17,3,81,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Kaynak kontrolü şart
221,1366,Freelancer'ın fatura şoku,Verimlilik,Girişimcilik,Kendi Patronun Ol,Paul Jarvis,1,Temel,13,7,12,12,9,8,17,3,81,Revize et,Carousel,Gelir büyürken sevilen işin sıfırlanması güçlü ters köşe; kişisel öykünün ayrıntıları kaynaklandırılmalı.,Kaynak kontrolü şart
222,1474,Bilişsel devrim ve hayali gerçeklikler,Tarih,Tarih,İnsanlığın Kısa Tarihi,Yuval Noah Harari,1,Temel,13,7,13,12,9,7,16,4,81,Revize et,Carousel,Ortak kurgu fikri para ve ulus gibi dev kavramları sarsıcı biçimde bağlar; yorum ve paylaşım potansiyeli yüksek.,Kaynak kontrolü önerilir
223,1079,Restoran garsonunun bahşiş sırrı,Psikoloji,Psikoloji,Influence,Robert Cialdini,1,Temel,14,8,12,12,8,7,16,4,81,Revize et,Carousel,İkinci şekerle yükselen bahşiş kolay canlandırılır; beklenmedik jest fikri sıcak ve çok paylaşılabilir.,Kaynak kontrolü önerilir
224,1099,Michael Jordan'ın kesim hikayesi,Psikoloji,Psikoloji,Zihin Gücü,Carol Dweck,1,Temel,14,9,12,12,9,7,16,2,81,Revize et,Carousel,Listede adını bulamayan Jordan güçlü duygu ve dönüşüm taşır; kesilme hikâyesi nüansla doğrulanmalı.,Kaynak kontrolü şart
225,1212,McDonald's'ın gerçek işi,Finans,Finans,Zengin Baba Fakir Baba,Robert Kiyosaki,1,Temel,14,7,12,13,9,7,16,3,81,Revize et,Carousel,Hamburger değil gayrimenkul ters köşesi çok paylaşılır; iş modelinin karmaşıklığı biraz sadeleştirilmiş.,Kaynak kontrolü şart
226,1255,Paraşütle atlayan kadın,Büyüme,Motivasyon,Korkusuzluk,Susan Jeffers,1,Temel,13,8,12,11,9,8,16,4,81,Revize et,Carousel,"Paraşüt diyaloğu korkunun geçmesini bekleme tuzağını canlı, duygusal ve paylaşılabilir biçimde gösteriyor.",Kaynak kontrolü önerilir
227,1316,Tetikleyiciler ve alışkanlık tasarımı,Bilim,Ürün,Müşteriyi Anlamak,Nir Eyal,1,Temel,13,7,12,12,10,7,16,4,81,Revize et,Carousel,Can sıkıntısı-Instagram bağı çok tanıdık; izleyici kendi duygusal tetikleyicisini hemen anlatabilir.,Kaynak kontrolü önerilir
228,1334,Ölüm ve anlam arasındaki bağ,Felsefe,Felsefe,Her Şey Yolunda,Mark Manson,1,Temel,13,8,12,11,10,7,16,4,81,Revize et,Carousel,Bir yıllık ömür sorusu duygusal ve güçlü öz değerlendirme yaratıyor; memento mori çerçevesi net.,Kaynak kontrolü önerilir
229,1393,Kurbağayı sabah yemek,Verimlilik,Verimlilik,Yeme Bozukluğu,Brian Tracy,1,Temel,13,7,12,14,9,8,16,2,81,Revize et,Carousel,Sabah kurbağa yemek güçlü ve komik bir metafor; Twain atfı ile üretkenlik sonucu doğrulanmalı.,Kaynak kontrolü şart
230,1408,Sözcüklerin büyüsü — birinci anlaşma,Felsefe,Felsefe,Dört Anlaşma,Don Miguel Ruiz,1,Temel,13,8,12,11,10,8,16,3,81,Revize et,Carousel,Bir cümlenin kırk yıllık sessizliği duygusal ve unutulmaz; örnek gerçek olay gibi sunulmadan çerçevelenmeli.,Kaynak kontrolü şart
231,1429,Terapistin kendi terapisti,Psikoloji,Psikoloji,Terapi,Lori Gottlieb,1,Temel,13,8,12,10,10,8,16,4,81,Revize et,Kart testi,Terapistin danışan koltuğuna geçmesi güçlü kırılganlık ve rol değişimi sunuyor; soru geniş kitleye uyuyor.,Kaynak kontrolü önerilir
232,1059,Britanya bisiklet takımının yüzde iki felsefesi,Sağlık,Alışkanlıklar,Atomic Habits,James Clear,1,Temel,14,8,11,14,9,7,16,2,81,Revize et,Carousel,76 yıllık yenilgiden olimpiyat zaferine dönüşüm güçlü; yüzde iki ve madalya anlatısı kaynakla netleştirilmeli.,Kaynak kontrolü şart
233,1581,Geri çekilme hakkı — en güçlü satış cümlesi,Finans,Satış,Satışın Yeni Yüzü,Daniel Pink,1,Temel,12,7,12,14,9,7,15,5,81,Revize et,Carousel,Müşteriye vazgeçme izni veren dürüst satış yaklaşımı beklenmedik ve güven verici; diyalog videosuna çok uygun.,Standart doğrulama
234,1608,Zengin hayat tasarımı — paranın araç olduğunu hatırlamak,Finans,Finans,Zengin Olmayı Öğrenmek,Ramit Sethi,1,Temel,12,7,12,15,9,6,15,5,81,Revize et,Carousel,Zengin hayatı kişisel değerlerle tanımlamak parayı amaçtan araca çeviriyor; egzersizi sesli nota çok uygun.,Standart doğrulama
235,1067,Ertelemenin gerçek kökü: korku,Verimlilik,Verimlilik,Şimdi Başla,Neil Fiore,1,Temel,13,9,11,13,10,7,15,3,81,Revize et,Carousel,"Ertelemenin ardındaki yeterli olmama korkusu çok relatable, duygusal ve sesli öz değerlendirmeye açık.",Kaynak kontrolü şart
236,1110,Öfke döngüsü ve nörolojik kaçırılma,Psikoloji,Psikoloji,Emotional Intelligence,Daniel Goleman,1,Temel,13,8,11,14,10,7,15,3,81,Revize et,Carousel,"Öfke sonrası pişmanlık evrensel, nörolojik çerçeve akılda kalıcı ve pratik mola önerisi kaydedilir.",Kaynak kontrolü şart
237,1194,Marcus Aurelius'un mektupları,Felsefe,Felsefe,Engel Yolu Açar,Ryan Holiday,1,Temel,13,8,11,13,10,7,15,4,81,Revize et,Carousel,İstemediği tahtta krizleri günlüğe dönüştüren imparator güçlü; engel sorusu kişisel kayıt çağırıyor.,Kaynak kontrolü önerilir
238,1230,Su gibi olmak,Liderlik,Strateji,Savaş Sanatı,Sun Tzu,1,Temel,13,8,11,12,10,7,15,5,81,Revize et,Carousel,"Suyun kayayı aşındırması zamansız, görsel ve her alana taşınabilen güçlü bir sohbet metaforu.",Standart doğrulama
239,1807,Hamburgerin Altındaki Arsa,Liderlik,Liderlik,Grinding It Out,Ray Kroc,C2,Zengin,13,5,13,11,8,7,19,4,80,Revize et,Carousel,"Uygulanabilir çerçeve, hikâyeyi geri dönüp kaydetmeye değer kılıyor; olay örgüsü geliştirilmeli.",Kaynak kontrolü önerilir
240,1747,Bisikletçilerin Rüzgar Tüneli,Tarih,Tarih,The Wright Brothers,David McCullough,2,Zengin,13,5,13,11,8,7,18,5,80,Revize et,Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Standart doğrulama
241,1776,"Şimdiki Bir mi, Sonraki İki mi?",Finans,İş & Girişim,The Marshmallow Test,Walter Mischel,2,Zengin,13,5,13,10,8,8,18,5,80,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
242,1789,Bedenin Yakıtı Yanlış Yere Akınca,Sağlık,Sağlık,Why Zebras Don't Get Ulcers,Robert M. Sapolsky,F6,Zengin,12,9,13,10,9,6,18,3,80,Revize et,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü şart
243,1805,Menüyü Küçülten Mutfak,Liderlik,Liderlik,Grinding It Out,Ray Kroc,C2,Zengin,12,7,13,10,9,7,18,4,80,Revize et,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
244,1276,PayPal mafyasının gizemi,Verimlilik,Girişimcilik,Sıfır'dan Bir'e,Peter Thiel,1,Temel,14,7,13,9,9,8,17,3,80,Revize et,Kart testi,PayPal’dan doğan şirketler güçlü sosyal kanıt ve görsel tempo yaratıyor; nedensellik yorumu ölçülü olmalı.,Kaynak kontrolü şart
245,1477,Ölümsüzlük projesi,Bilim,Gelecek,Homo Deus,Yuval Noah Harari,1,Temel,13,7,13,11,9,7,17,3,80,Revize et,Carousel,Ölümsüzlük projesi ve teknoloji şirketleri güçlü gelecek merakı yaratır; spekülasyonlar açıkça ayrılmalı.,Kaynak kontrolü şart
246,1698,Steve Jobs'ın Kaligrafi Dersi Mac'i Nasıl Değiştirdi?,Liderlik,Liderlik,Steve Jobs,Walter Isaacson,2,Zengin,12,6,13,11,9,8,17,4,80,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
247,1700,Rastgele Yürüyen Bir Piyasa Yenilebilir mi?,Finans,Finans,A Random Walk Down Wall Street,Burton G. Malkiel,2,Zengin,13,5,13,11,8,8,17,5,80,Revize et,Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
248,1702,Konfor Alanı Bedenimizi Nasıl Zayıflatıyor?,Sağlık,Sağlık,The Comfort Crisis,Michael Easter,2,Zengin,12,7,13,11,9,7,17,4,80,Revize et,Carousel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
249,1703,Bir Kaza James Clear’ın Alışkanlık Fikrini Nasıl Değiştirdi?,Sağlık,Alışkanlıklar,Atomic Habits,James Clear,2,Zengin,12,7,13,11,8,8,17,4,80,Revize et,Carousel,"Uygulanabilir çerçeve, hikâyeyi geri dönüp kaydetmeye değer kılıyor; olay örgüsü yeterli.",Kaynak kontrolü önerilir
250,1714,Dinlemek Neden Konuşmaktan Daha Zordur?,Psikoloji,Farkındalık,You're Not Listening,Kate Murphy,2,Zengin,12,6,13,11,8,9,17,4,80,Revize et,Carousel,"Uygulanabilir çerçeve, hikâyeyi geri dönüp kaydetmeye değer kılıyor; ilk saniye etkisi yeterli.",Kaynak kontrolü önerilir
251,1751,Bombardıman Altında Görünür Olmak,Tarih,Tarih,The Splendid and the Vile,Erik Larson,2,Zengin,13,6,13,9,9,8,17,5,80,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
252,1753,Aynı Kazadan İki Farklı Gerçek,Tarih,Tarih,The Wager,David Grann,2,Zengin,13,7,13,9,8,8,17,5,80,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
253,1793,Kapını Her Sabah Çalan Ortak,Finans,Finans,The Intelligent Investor,Benjamin Graham,F7,Zengin,13,7,13,10,7,8,17,5,80,Revize et,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
254,1795,Salondaki Ayakkabı Mağazası,Liderlik,Liderlik,Delivering Happiness,Tony Hsieh,C1,Zengin,12,7,13,10,9,8,17,4,80,Revize et,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
255,1306,Ormanın yangın ihtiyacı,Felsefe,Düşünme,Antikırılgan,Nassim Taleb,1,Temel,13,7,12,11,9,8,17,3,80,Revize et,Carousel,Küçük yangının büyük felaketi önlemesi çarpıcı; orman yönetimi ve diğer alanlara aktarım biraz basitleştirilmiş.,Kaynak kontrolü şart
256,1309,Salıncak ve sistem düşüncesi,Felsefe,Düşünme,Thinking in Systems,Donella Meadows,1,Temel,13,7,12,12,9,8,17,2,80,Revize et,Carousel,Salıncak yerine ağaç seçimi sistem düşüncesini çok iyi gösteriyor; örneğin Meadows kaynağı teyit edilmeli.,Kaynak kontrolü şart
257,1354,Ferrari sahibinin manastır ziyareti,Büyüme,İlham,Lider Yok Köle Yok,Robin Sharma,1,Temel,13,8,11,8,9,9,17,5,80,Revize et,Kart testi,Kalp krizinden Himalaya’ya giden kurmaca dönüş sinematik ve duygusal; mesaj tanıdık olsa da bağlam açık.,Standart doğrulama
258,1260,Napoleon'ın e-posta kuralı,Felsefe,Felsefe,Stillness Is the Key,Ryan Holiday,1,Temel,13,7,13,13,8,8,16,2,80,Revize et,Carousel,“Napoleon’ın e-posta kuralı” güncel ve çok paylaşılabilir; üç hafta anekdotunun kaynağı doğrulanmalı.,Kaynak kontrolü şart
259,1478,Veri dini ve algoritmik otorite,Bilim,Gelecek,Homo Deus,Yuval Noah Harari,1,Temel,13,7,13,12,9,7,16,3,80,Revize et,Carousel,Algoritmaların bizi bizden iyi tanıması ürpertici ve güncel; veriizm iddiaları nüanslı verilirse çok paylaşılır.,Kaynak kontrolü şart
260,1479,Özgür irade yanılsaması,Bilim,Gelecek,Homo Deus,Yuval Noah Harari,1,Temel,13,7,13,12,9,7,16,3,80,Revize et,Carousel,Libet deneyi özgür irade duygusunu sarsıyor; bilimsel yorum tartışmalı olsa da mükemmel konuşma başlatır.,Kaynak kontrolü şart
261,1248,Merak yaratıcılığın pusulası,Verimlilik,Yaratıcılık,Yaratıcı Olmak,Elizabeth Gilbert,1,Temel,13,7,12,12,9,7,16,4,80,Revize et,Carousel,"Tutku baskısına karşı merak önerisi taze bir karşıtlık, düşük eşikli eylem ve iyi bir sohbet sorusu sunuyor.",Kaynak kontrolü önerilir
262,1281,Değerler ve değer çatışması,Liderlik,Liderlik,Karanlığın Ötesi,Brené Brown,1,Temel,12,7,12,13,9,7,16,4,80,Revize et,Carousel,Değerlerin bedelle sınanması güçlü bir alıntı ve karar aracı; kişisel soru sesli düşünmeyi kolaylaştırıyor.,Kaynak kontrolü önerilir
263,1298,Fırsatın maliyeti,Verimlilik,Verimlilik,Minimalizm,Greg McKeown,1,Temel,13,6,12,13,9,7,16,4,80,Revize et,Carousel,"Her evetin bir hayır olduğu karşıtlığı net, kaydedilebilir ve izleyiciyi kendi takvimini sorgulamaya itiyor.",Kaynak kontrolü önerilir
264,1307,Barbell stratejisi,Felsefe,Düşünme,Antikırılgan,Nassim Taleb,1,Temel,13,6,12,14,9,7,16,3,80,Revize et,Carousel,"Yüzde 90 güvenli, yüzde 10 çılgın kuralı son derece kaydedilebilir; finans bağlamında uyarı gerektiriyor.",Kaynak kontrolü şart
265,1313,McDonald's ve işletme prototipi,Verimlilik,Girişimcilik,İşin Özü,Michael Gerber,1,Temel,13,6,12,13,9,8,16,3,80,Revize et,Carousel,Hamburger değil sistem karşıtlığı iş sahipleri için güçlü ve pratik; Kroc anlatısı kaynakla desteklenmeli.,Kaynak kontrolü şart
266,1320,Çevre tasarımı ve sürtüşme,Verimlilik,Verimlilik,Indistractable,Nir Eyal,1,Temel,13,6,12,14,9,7,16,3,80,Revize et,Carousel,Telefonu uzaklaştırıp kitabı yaklaştırmak son derece uygulanabilir; yüzde kırk etkisi kaynak ister.,Kaynak kontrolü şart
